VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
TN 02 BU 0442,25TH BLOCK MNT,3,6.40AM, , ,DAY,2,15,1
TN 02 BU 0442,25TH BLOCK MNT,3,9.25PM, , ,NIGHT,2,15,2
TN 02 BU 0442,"79TH BLOCK,MNT",3,10.15PM, , ,NIGHT,2,16,0
TN 02 BU 0442,ELANTHANOOR MAIN ROAD,3,8.15 AM, , ,DAY,2,16,1
TN 02 BU 0442,ELANTHANOOR MAIN ROAD,3,10.35PM, , ,NIGHT,2,16,2
TN 02 BU 0442,MRH ROAD,5,10.30AM, , ,DAY,2,17,0
TN 02 BU 0442,MRH ROAD,5,10.30AM, , ,DAY,2,17,1
TN 02 BU 0442,BHARATHIYAR STREET,2, ,3.45AM, ,NIGHT,2,18,0
TN 02 BU 0442,NEDUCHEZIAN SALAI,2, ,12.55PM, ,DAY,2,18,1
TN 02 BU 0442,GRAMMA STREET,1, ,4.10AM, ,NIGHT,2,18,2
TN 02 BU 0442,1ST MAIN ROAD,2, ,11.40AM, ,DAY,2,19,0
TN 02 BU 0442,1ST MAIN ROAD,2, ,11.30AM, ,DAY,2,19,1
TN 02 BU 0442,1ST MAIN ROAD,2, ,1.30AM, ,NIGHT,2,19,2
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,2.25PM, ,DAY,2,20,0
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,2.30PM, ,DAY,2,20,1
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,4.55AM, ,NIGHT,2,20,2
TN 02 BU 0442,AMBEDKAR STREET,4, ,4.25AM, ,NIGHT,2,21,0
TN 02 BU 0442,BHARATHIYAR STREET,4, ,1.20PM, ,DAY,2,21,1
TN 02 BU 0442,JALAGANDAMARIYAMMAN KOIL STREET,1, ,4.35AM, ,NIGHT,2,21,2
TN02BU 0433,GNT ROAD,4, ,1.10AM, ,NIGHT,3,22,0
TN02BU 0433,K.S. NAGAR,5,8.45AM, , ,DAY,3,22,1
