Month ,Type,City,Rate
2018-10-01,19 Kg,Delhi,1512
2018-10-01,19 Kg,Delhi ,1512.0
2018-10-01,19 Kg,Kolkata,1562.5
2018-10-01,19 Kg,Kolkata ,1562.5
2018-10-01,19 Kg,Mumbai,1463.0
2018-10-01,19 Kg,Mumbai ,1463.0
2018-09-01,19 Kg,Chennai,1515
2018-09-01,19 Kg,Delhi,1418
2018-09-01,19 Kg,Delhi ,1418.0
2018-09-01,19 Kg,Kolkata,1474
2018-09-01,19 Kg,Kolkata ,1474.0
2018-09-01,19 Kg,Mumbai,1377.0
2018-09-01,19 Kg,Mumbai ,1377.0
2018-08-01,19 Kg,Chennai,1468
2018-08-01,19 Kg,Delhi,1371
